index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
179,206.4,73.6136,6.999,,,,15/9-F-11 B
180,206.5,73.6136,6.8,,,,15/9-F-11 B
181,206.6,73.6136,6.702,,,,15/9-F-11 B
182,206.7,73.6136,7.605,,,,15/9-F-11 B
183,206.8,73.6136,9.305,,,,15/9-F-11 B
184,206.9,73.6136,11.1,,,,15/9-F-11 B
185,207.0,73.6136,10.996,,,,15/9-F-11 B
186,207.1,73.6136,9.697,,,,15/9-F-11 B
187,207.2,73.6136,8.695,,,,15/9-F-11 B
188,207.3,73.6136,6.901,,,,15/9-F-11 B
189,207.4,73.6136,7.298,,,,15/9-F-11 B
190,207.5,73.6136,6.601,,,,15/9-F-11 B
191,207.6,73.6136,6.902,,,,15/9-F-11 B
192,207.7,73.6136,7.499,,,,15/9-F-11 B
193,207.8,73.6136,7.302,,,,15/9-F-11 B
194,207.9,73.6136,8.099,,,,15/9-F-11 B
195,208.0,73.6136,7.799,,,,15/9-F-11 B
196,208.1,73.6136,7.601,,,,15/9-F-11 B
197,208.2,73.6136,7.902,,,,15/9-F-11 B
198,208.3,73.6136,8.5,,,,15/9-F-11 B
199,208.4,73.6136,8.4,,,,15/9-F-11 B
200,208.5,73.6136,8.5,,,,15/9-F-11 B
201,208.6,73.6136,8.501,,,,15/9-F-11 B
202,208.7,73.6136,8.798,,,,15/9-F-11 B
203,208.8,73.6136,7.999,,,,15/9-F-11 B
204,208.9,73.6136,7.602,,,,15/9-F-11 B
205,209.0,73.6136,8.201,,,,15/9-F-11 B
206,209.1,73.6136,8.499,,,,15/9-F-11 B
207,209.2,73.6136,8.302,,,,15/9-F-11 B
208,209.3,73.6136,9.1,,,,15/9-F-11 B
209,209.4,73.6136,9.102,,,,15/9-F-11 B
210,209.5,73.6136,9.799,,,,15/9-F-11 B
211,209.6,73.6136,9.602,,,,15/9-F-11 B
212,209.7,73.6136,10.504,,,,15/9-F-11 B
213,209.8,73.6136,11.906,,,,15/9-F-11 B
214,209.9,73.6136,14.204,,,,15/9-F-11 B
215,210.0,73.6136,15.602,,,,15/9-F-11 B
216,210.1,73.6136,16.401,,,,15/9-F-11 B
217,210.2,73.6136,16.899,,,,15/9-F-11 B
218,210.3,73.6136,16.594,,,,15/9-F-11 B
219,210.4,73.6136,14.597,,,,15/9-F-11 B
220,210.5,73.6136,13.602,,,,15/9-F-11 B
221,210.6,73.6136,14.403,,,,15/9-F-11 B
222,210.7,73.6136,15.404,,,,15/9-F-11 B
223,210.8,73.6136,16.901,,,,15/9-F-11 B
224,210.9,73.6136,17.302,,,,15/9-F-11 B
225,211.0,73.6136,18.001,,,,15/9-F-11 B
